sent=3 sample=60 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=61 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=62 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=63 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=64 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=65 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=66 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=67 ||| proposal=-6.07238 ||| joint=-89.5609
sent=3 sample=68 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=69 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=70 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=71 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=72 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=73 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=74 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=75 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=76 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=77 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=78 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=79 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=80 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=81 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=82 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=83 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=84 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=85 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=86 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=87 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=88 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=89 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=90 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=91 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=92 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=93 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=94 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=95 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=96 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=97 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=98 ||| proposal=-0.0227242 ||| joint=-78.4573
sent=3 sample=99 ||| proposal=-0.0227242 ||| joint=-78.4573
prob: -78.464968319948 (len=11)
sent=4 sample=0 ||| proposal=-0.0233374 ||| joint=-79.9279
sent=4 sample=1 ||| proposal=-0.0233374 ||| joint=-79.9279
sent=4 sample=2 ||| proposal=-0.0233374 ||| joint=-79.9279
