sent=3 sample=24 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=25 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=26 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=27 ||| proposal=-13.6382 ||| joint=-114.488
sent=3 sample=28 ||| proposal=-2.85719 ||| joint=-111.035
sent=3 sample=29 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=30 ||| proposal=-6.96668 ||| joint=-106.913
sent=3 sample=31 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=32 ||| proposal=-2.85965 ||| joint=-109.944
sent=3 sample=33 ||| proposal=-7.20325 ||| joint=-121.488
sent=3 sample=34 ||| proposal=-4.46796 ||| joint=-123.651
sent=3 sample=35 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=36 ||| proposal=-10.9538 ||| joint=-125.773
sent=3 sample=37 ||| proposal=-8.18998 ||| joint=-130.067
sent=3 sample=38 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=39 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=40 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=41 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=42 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=43 ||| proposal=-5.4336 ||| joint=-103.878
sent=3 sample=44 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=45 ||| proposal=-2.85719 ||| joint=-111.035
sent=3 sample=46 ||| proposal=-7.33426 ||| joint=-118.122
sent=3 sample=47 ||| proposal=-4.57106 ||| joint=-111.226
sent=3 sample=48 ||| proposal=-5.0913 ||| joint=-114.749
sent=3 sample=49 ||| proposal=-5.67646 ||| joint=-120.165
sent=3 sample=50 ||| proposal=-2.85965 ||| joint=-109.944
sent=3 sample=51 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=52 ||| proposal=-2.85965 ||| joint=-109.944
sent=3 sample=53 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=54 ||| proposal=-3.84288 ||| joint=-133.442
sent=3 sample=55 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=56 ||| proposal=-11.2875 ||| joint=-115.836
sent=3 sample=57 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=58 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=59 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=60 ||| proposal=-3.84288 ||| joint=-133.442
sent=3 sample=61 ||| proposal=-5.6785 ||| joint=-111.951
sent=3 sample=62 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=63 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=64 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=65 ||| proposal=-2.53294 ||| joint=-120.559
sent=3 sample=66 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=67 ||| proposal=-6.4928 ||| joint=-130.025
sent=3 sample=68 ||| proposal=-6.04991 ||| joint=-114.244
sent=3 sample=69 ||| proposal=-7.59524 ||| joint=-112.692
sent=3 sample=70 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=71 ||| proposal=-3.84288 ||| joint=-133.442
sent=3 sample=72 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=73 ||| proposal=-2.85719 ||| joint=-111.035
sent=3 sample=74 ||| proposal=-2.85719 ||| joint=-111.035
sent=3 sample=75 ||| proposal=-6.4478 ||| joint=-108.359
sent=3 sample=76 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=77 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=78 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=79 ||| proposal=-7.33426 ||| joint=-118.122
sent=3 sample=80 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=81 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=82 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=83 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=84 ||| proposal=-4.39649 ||| joint=-125.317
sent=3 sample=85 ||| proposal=-2.53294 ||| joint=-120.559
sent=3 sample=86 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=87 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=88 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=89 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=90 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=91 ||| proposal=-1.27268 ||| joint=-110.08
sent=3 sample=92 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=93 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=94 ||| proposal=-8.40292 ||| joint=-118.473
sent=3 sample=95 ||| proposal=-10.7995 ||| joint=-124.556
sent=3 sample=96 ||| proposal=-2.53294 ||| joint=-120.559
sent=3 sample=97 ||| proposal=-5.13554 ||| joint=-111.779
sent=3 sample=98 ||| proposal=-1.69556 ||| joint=-104.43
sent=3 sample=99 ||| proposal=-1.27268 ||| joint=-110.08
prob: -102.084509521959 (len=13)
sent=4 sample=0 ||| proposal=-5.59261 ||| joint=-111.23
sent=4 sample=1 ||| proposal=-2.91004 ||| joint=-111.937
sent=4 sample=2 ||| proposal=-2.91004 ||| joint=-111.937
sent=4 sample=3 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=4 ||| proposal=-2.6446 ||| joint=-121.006
sent=4 sample=5 ||| proposal=-5.64268 ||| joint=-122.575
sent=4 sample=6 ||| proposal=-2.71071 ||| joint=-110.038
sent=4 sample=7 ||| proposal=-2.71071 ||| joint=-110.038
sent=4 sample=8 ||| proposal=-2.71071 ||| joint=-110.038
sent=4 sample=9 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=10 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=11 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=12 ||| proposal=-2.91004 ||| joint=-111.937
sent=4 sample=13 ||| proposal=-7.87813 ||| joint=-128.877
sent=4 sample=14 ||| proposal=-6.05596 ||| joint=-111.314
sent=4 sample=15 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=16 ||| proposal=-12.2524 ||| joint=-131.375
sent=4 sample=17 ||| proposal=-5.62952 ||| joint=-120.587
sent=4 sample=18 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=19 ||| proposal=-2.6446 ||| joint=-121.006
sent=4 sample=20 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=21 ||| proposal=-5.0446 ||| joint=-114.288
sent=4 sample=22 ||| proposal=-4.51755 ||| joint=-111.249
sent=4 sample=23 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=24 ||| proposal=-3.9386 ||| joint=-130.764
sent=4 sample=25 ||| proposal=-4.57867 ||| joint=-124.05
sent=4 sample=26 ||| proposal=-3.9386 ||| joint=-130.764
sent=4 sample=27 ||| proposal=-11.6564 ||| joint=-119.228
sent=4 sample=28 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=29 ||| proposal=-6.06473 ||| joint=-107.374
sent=4 sample=30 ||| proposal=-2.91004 ||| joint=-111.937
sent=4 sample=31 ||| proposal=-13.9314 ||| joint=-131.83
sent=4 sample=32 ||| proposal=-13.4918 ||| joint=-118.926
sent=4 sample=33 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=34 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=35 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=36 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=37 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=38 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=39 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=40 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=41 ||| proposal=-15.9995 ||| joint=-138.142
sent=4 sample=42 ||| proposal=-2.6446 ||| joint=-121.006
sent=4 sample=43 ||| proposal=-2.71071 ||| joint=-110.038
sent=4 sample=44 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=45 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=46 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=47 ||| proposal=-5.0905 ||| joint=-112.076
sent=4 sample=48 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=49 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=50 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=51 ||| proposal=-4.58103 ||| joint=-112.42
sent=4 sample=52 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=53 ||| proposal=-7.7045 ||| joint=-133.323
sent=4 sample=54 ||| proposal=-8.57049 ||| joint=-139.252
sent=4 sample=55 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=56 ||| proposal=-2.91004 ||| joint=-111.937
sent=4 sample=57 ||| proposal=-12.7954 ||| joint=-136.257
sent=4 sample=58 ||| proposal=-2.71071 ||| joint=-110.038
sent=4 sample=59 ||| proposal=-6.39351 ||| joint=-116.743
sent=4 sample=60 ||| proposal=-2.71071 ||| joint=-110.038
sent=4 sample=61 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=62 ||| proposal=-5.70864 ||| joint=-120.724
sent=4 sample=63 ||| proposal=-3.9386 ||| joint=-130.764
sent=4 sample=64 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=65 ||| proposal=-2.91004 ||| joint=-111.937
sent=4 sample=66 ||| proposal=-2.6446 ||| joint=-121.006
sent=4 sample=67 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=68 ||| proposal=-2.6446 ||| joint=-121.006
sent=4 sample=69 ||| proposal=-4.54969 ||| joint=-125.166
sent=4 sample=70 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=71 ||| proposal=-7.5406 ||| joint=-132.602
sent=4 sample=72 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=73 ||| proposal=-2.91004 ||| joint=-111.937
sent=4 sample=74 ||| proposal=-1.65366 ||| joint=-105.084
sent=4 sample=75 ||| proposal=-4.54969 ||| joint=-125.166
sent=4 sample=76 ||| proposal=-6.01513 ||| joint=-123.942
sent=4 sample=77 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=78 ||| proposal=-5.64268 ||| joint=-122.575
sent=4 sample=79 ||| proposal=-1.25298 ||| joint=-109.983
sent=4 sample=80 ||| proposal=-2.6446 ||| joint=-121.006
